,workclass,fnlwgt,education-num,marital-status,occupation,relationship,sex,capital-gain,capital-loss,hours-per-week
0,Private,,13.0,,Handlers-cleaners,Not-in-family,Male,0.0,0.0,36.0
1,Private,218215.0,10.0,Never-married,Adm-clerical,Own-child,,0.0,0.0,
2,Local-gov,,9.0,,Protective-serv,Husband,Male,0.0,0.0,40.0
3,Private,,7.0,,Transport-moving,Own-child,Male,0.0,0.0,36.0
4,Private,45522.0,9.0,Never-married,Other-service,Not-in-family,,0.0,0.0,
5,State-gov,,11.0,,Prof-specialty,Unmarried,Female,6849.0,0.0,40.0
6,Private,,10.0,,Craft-repair,Husband,Male,0.0,0.0,52.0
7,Private,,10.0,,Adm-clerical,Not-in-family,Male,0.0,0.0,40.0
8,Self-emp-not-inc,,13.0,,Machine-op-inspct,Husband,Male,0.0,0.0,70.0
9,Self-emp-not-inc,27653.0,9.0,Married-civ-spouse,Farming-fishing,Husband,,0.0,0.0,
10,Private,126141.0,13.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,0.0,
11,Private,,6.0,,Handlers-cleaners,Own-child,Male,0.0,0.0,40.0
12,,,9.0,,,Unmarried,Female,0.0,0.0,40.0
13,Private,,9.0,,Other-service,Not-in-family,Female,0.0,0.0,50.0
14,Private,,13.0,,Exec-managerial,Husband,Male,0.0,0.0,40.0
15,Local-gov,137518.0,9.0,Widowed,Adm-clerical,Not-in-family,,0.0,0.0,
16,Self-emp-inc,146659.0,10.0,Divorced,Machine-op-inspct,Not-in-family,,0.0,0.0,
17,Private,134232.0,13.0,Never-married,Other-service,Own-child,,0.0,0.0,
18,Private,,13.0,,Craft-repair,Husband,Male,0.0,0.0,44.0
19,Private,143800.0,6.0,Married-civ-spouse,Transport-moving,Husband,,0.0,0.0,
20,Private,,10.0,,Other-service,Not-in-family,Male,0.0,0.0,57.0
21,Private,,10.0,,Adm-clerical,Own-child,Male,0.0,0.0,40.0
22,Private,,10.0,,Craft-repair,Not-in-family,Male,0.0,0.0,40.0
23,Self-emp-inc,,13.0,,Exec-managerial,Husband,Male,0.0,0.0,50.0
24,Private,,11.0,,Craft-repair,Husband,Male,0.0,0.0,40.0
25,Private,,9.0,,Craft-repair,Own-child,Male,0.0,0.0,40.0
26,Private,,10.0,,Craft-repair,Husband,Male,5178.0,0.0,40.0
27,Private,185279.0,9.0,Never-married,Handlers-cleaners,Own-child,,0.0,0.0,
28,Private,,9.0,,Transport-moving,Not-in-family,Male,4865.0,0.0,40.0
29,Private,,10.0,,Transport-moving,Not-in-family,Male,0.0,0.0,40.0
30,Federal-gov,191858.0,12.0,Married-civ-spouse,Adm-clerical,Husband,,0.0,0.0,
31,Private,124747.0,9.0,Married-civ-spouse,Exec-managerial,Wife,,3103.0,0.0,
32,Private,,9.0,,Other-service,Unmarried,Female,0.0,0.0,25.0
33,Private,146268.0,6.0,Never-married,Other-service,Own-child,,0.0,0.0,
34,Private,,9.0,,Priv-house-serv,Own-child,Female,0.0,0.0,36.0
35,Private,198270.0,10.0,Divorced,Other-service,Not-in-family,,0.0,0.0,
36,,154394.0,,Never-married,,,Female,0.0,0.0,15.0
37,Private,,12.0,,Prof-specialty,Not-in-family,Female,0.0,0.0,36.0
38,Private,,9.0,,Exec-managerial,Not-in-family,Male,0.0,0.0,32.0
39,Private,,10.0,,Machine-op-inspct,Unmarried,Female,0.0,0.0,70.0
