,workclass,fnlwgt,education-num,marital-status,occupation,relationship,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
0,Private,,13.0,,Handlers-cleaners,Not-in-family,Male,0.0,0.0,36.0,,
1,Private,,,Married-civ-spouse,Prof-specialty,Husband,Male,,,20.0,United-States,<=50K
2,Private,218215.0,10.0,Never-married,Adm-clerical,Own-child,,0.0,0.0,,,
3,Local-gov,,9.0,,Protective-serv,Husband,Male,0.0,0.0,40.0,,
4,Private,,,Married-spouse-absent,Other-service,Other-relative,Female,,,35.0,Puerto-Rico,<=50K
5,Private,,,Never-married,Other-service,Other-relative,Male,,,25.0,United-States,<=50K
6,Private,,7.0,,Transport-moving,Own-child,Male,0.0,0.0,36.0,,
7,Private,,,Married-civ-spouse,Sales,Husband,Male,,,50.0,United-States,<=50K
8,Private,45522.0,9.0,Never-married,Other-service,Not-in-family,,0.0,0.0,,,
9,State-gov,,11.0,,Prof-specialty,Unmarried,Female,6849.0,0.0,40.0,,
10,Private,,10.0,,Craft-repair,Husband,Male,0.0,0.0,52.0,,
11,Private,,,Married-civ-spouse,Machine-op-inspct,Husband,Male,,,40.0,United-States,>50K
12,Private,,10.0,,Adm-clerical,Not-in-family,Male,0.0,0.0,40.0,,
13,Self-emp-not-inc,,13.0,,Machine-op-inspct,Husband,Male,0.0,0.0,70.0,,
14,Self-emp-not-inc,27653.0,9.0,Married-civ-spouse,Farming-fishing,Husband,,0.0,0.0,,,
15,Private,126141.0,13.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,0.0,,,
16,Private,,6.0,,Handlers-cleaners,Own-child,Male,0.0,0.0,40.0,,
17,Private,,,Married-civ-spouse,Other-service,Wife,Female,,,30.0,United-States,<=50K
18,,,9.0,,,Unmarried,Female,0.0,0.0,40.0,,
19,Private,,9.0,,Other-service,Not-in-family,Female,0.0,0.0,50.0,,
20,Private,,13.0,,Exec-managerial,Husband,Male,0.0,0.0,40.0,,
21,Local-gov,137518.0,9.0,Widowed,Adm-clerical,Not-in-family,,0.0,0.0,,,
22,Private,,,Never-married,Exec-managerial,Not-in-family,Male,,,40.0,United-States,<=50K
23,Self-emp-inc,146659.0,10.0,Divorced,Machine-op-inspct,Not-in-family,,0.0,0.0,,,
24,Self-emp-inc,,,Married-civ-spouse,Craft-repair,Husband,Male,,,15.0,Canada,<=50K
25,Private,134232.0,13.0,Never-married,Other-service,Own-child,,0.0,0.0,,,
26,Private,,13.0,,Craft-repair,Husband,Male,0.0,0.0,44.0,,
27,Private,,,Divorced,Sales,Unmarried,Female,,,54.0,United-States,<=50K
28,Private,,,Married-civ-spouse,Sales,Husband,Male,,,40.0,United-States,<=50K
29,Private,143800.0,6.0,Married-civ-spouse,Transport-moving,Husband,,0.0,0.0,,,
30,Private,,10.0,,Other-service,Not-in-family,Male,0.0,0.0,57.0,,
31,Private,,,Divorced,Other-service,Not-in-family,Female,,,30.0,United-States,<=50K
32,Private,,10.0,,Adm-clerical,Own-child,Male,0.0,0.0,40.0,,
33,Private,,10.0,,Craft-repair,Not-in-family,Male,0.0,0.0,40.0,,
34,Private,,,Married-civ-spouse,Craft-repair,Husband,Male,,,45.0,United-States,<=50K
35,Self-emp-inc,,13.0,,Exec-managerial,Husband,Male,0.0,0.0,50.0,,
36,Private,,11.0,,Craft-repair,Husband,Male,0.0,0.0,40.0,,
37,Private,,9.0,,Craft-repair,Own-child,Male,0.0,0.0,40.0,,
38,Private,,10.0,,Craft-repair,Husband,Male,5178.0,0.0,40.0,,
39,Private,,,Never-married,Adm-clerical,Own-child,Female,,,40.0,United-States,<=50K
40,Private,185279.0,9.0,Never-married,Handlers-cleaners,Own-child,,0.0,0.0,,,
41,Private,,9.0,,Transport-moving,Not-in-family,Male,4865.0,0.0,40.0,,
42,Private,,10.0,,Transport-moving,Not-in-family,Male,0.0,0.0,40.0,,
43,Federal-gov,191858.0,12.0,Married-civ-spouse,Adm-clerical,Husband,,0.0,0.0,,,
44,Private,,,Never-married,Tech-support,Not-in-family,Female,,,40.0,United-States,<=50K
45,Private,,,Married-civ-spouse,Sales,Wife,Female,,,20.0,United-States,<=50K
46,Private,124747.0,9.0,Married-civ-spouse,Exec-managerial,Wife,,3103.0,0.0,,,
47,Private,,9.0,,Other-service,Unmarried,Female,0.0,0.0,25.0,,
48,Private,146268.0,6.0,Never-married,Other-service,Own-child,,0.0,0.0,,,
49,Private,,9.0,,Priv-house-serv,Own-child,Female,0.0,0.0,36.0,,
50,Private,198270.0,10.0,Divorced,Other-service,Not-in-family,,0.0,0.0,,,
51,Private,,,Never-married,Adm-clerical,Own-child,Female,,,40.0,United-States,<=50K
52,Private,,,Married-civ-spouse,Farming-fishing,Husband,Male,,,40.0,United-States,<=50K
53,Private,,,Married-civ-spouse,Farming-fishing,Husband,Male,,,55.0,United-States,<=50K
54,,154394.0,,Never-married,,,Female,0.0,0.0,15.0,,
55,Private,,12.0,,Prof-specialty,Not-in-family,Female,0.0,0.0,36.0,,
56,Private,,9.0,,Exec-managerial,Not-in-family,Male,0.0,0.0,32.0,,
57,Private,,,Separated,Other-service,Unmarried,Female,,,40.0,United-States,<=50K
58,Private,,,Divorced,Sales,Unmarried,Female,,,38.0,United-States,<=50K
59,Private,,10.0,,Machine-op-inspct,Unmarried,Female,0.0,0.0,70.0,,
60,Private,83827.0,9.0,Divorced,Machine-op-inspct,Not-in-family,,0.0,0.0,,,
61,Private,,,Married-civ-spouse,Adm-clerical,Wife,Female,,,35.0,United-States,>50K
62,Self-emp-not-inc,,9.0,,Other-service,Not-in-family,Male,0.0,0.0,35.0,,
63,Private,,,Married-civ-spouse,Exec-managerial,Wife,Female,,,40.0,Puerto-Rico,>50K
64,Self-emp-inc,,12.0,,Exec-managerial,Husband,Male,15024.0,0.0,55.0,,
65,Self-emp-inc,,,Married-civ-spouse,Sales,Husband,Male,,,40.0,United-States,>50K
66,Self-emp-inc,185497.0,13.0,Married-civ-spouse,Exec-managerial,Wife,,0.0,0.0,,,
67,Private,,10.0,,Adm-clerical,Own-child,Female,0.0,0.0,25.0,,
68,Local-gov,,,Never-married,Other-service,Not-in-family,Female,,,22.0,United-States,<=50K
69,Private,,13.0,,Exec-managerial,Own-child,Female,0.0,0.0,40.0,,
70,Private,,13.0,,Prof-specialty,Own-child,Male,0.0,0.0,50.0,,
71,Private,,10.0,,Other-service,Own-child,Female,0.0,0.0,25.0,,
72,,339547.0,10.0,Married-civ-spouse,,Husband,,0.0,0.0,,,
73,Private,,,Married-civ-spouse,Prof-specialty,Husband,Male,,,60.0,United-States,>50K
74,Private,120910.0,9.0,Never-married,Other-service,Unmarried,,0.0,0.0,,,
75,Self-emp-not-inc,107846.0,9.0,Never-married,Protective-serv,Not-in-family,,0.0,0.0,,,
76,Private,,8.0,,Other-service,Own-child,Female,0.0,0.0,20.0,,
77,Private,,13.0,,Exec-managerial,Not-in-family,Male,0.0,0.0,40.0,,
78,Private,,10.0,,Prof-specialty,Own-child,Female,0.0,0.0,8.0,,
79,Private,,10.0,,Adm-clerical,Own-child,Female,0.0,0.0,20.0,,
80,Private,176239.0,5.0,Divorced,Other-service,Not-in-family,,0.0,0.0,,,
81,Private,351770.0,10.0,Divorced,Farming-fishing,Unmarried,,0.0,0.0,,,
82,Private,23698.0,9.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,,,
83,Self-emp-not-inc,145441.0,11.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,,,
84,Private,,,Married-civ-spouse,Craft-repair,Husband,Male,,,45.0,United-States,>50K
85,,,10.0,,,Not-in-family,Female,0.0,0.0,25.0,,
86,Private,197207.0,13.0,Never-married,Prof-specialty,Not-in-family,,0.0,0.0,,,
87,,174525.0,9.0,Married-civ-spouse,,Husband,,3942.0,0.0,,,
88,Private,87561.0,12.0,Never-married,Tech-support,Not-in-family,,0.0,0.0,,,
89,Private,,9.0,,Handlers-cleaners,Husband,Male,0.0,0.0,40.0,,
90,Private,176219.0,,Married-civ-spouse,Machine-op-inspct,Husband,,0.0,0.0,,,
91,,,,Widowed,,Unmarried,Female,,,15.0,United-States,<=50K
92,Private,,,Never-married,Farming-fishing,Own-child,Male,,,20.0,United-States,<=50K
