age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,salary
,Private,,Married-civ-spouse,Prof-specialty,Husband,,Male,20.0,United-States,<=50K
22.0,,Some-college,,,,White,Female,35.0,United-States,<=50K
,Private,,Married-spouse-absent,Other-service,Other-relative,,Female,35.0,Puerto-Rico,<=50K
,Private,,Never-married,Other-service,Other-relative,,Male,25.0,United-States,<=50K
,Private,,Married-civ-spouse,Sales,Husband,,Male,50.0,United-States,<=50K
34.0,,HS-grad,,,,White,Male,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Machine-op-inspct,Husband,,Male,40.0,United-States,>50K
63.0,,HS-grad,,,,White,Male,35.0,United-States,<=50K
45.0,,Bachelors,,,,White,Male,40.0,United-States,>50K
,Private,,Married-civ-spouse,Other-service,Wife,,Female,30.0,United-States,<=50K
68.0,,HS-grad,,,,White,Female,33.0,United-States,<=50K
,Private,,Never-married,Exec-managerial,Not-in-family,,Male,40.0,United-States,<=50K
41.0,,Some-college,,,,White,Female,40.0,Honduras,<=50K
,Self-emp-inc,,Married-civ-spouse,Craft-repair,Husband,,Male,15.0,Canada,<=50K
25.0,,Bachelors,,,,White,Female,20.0,United-States,<=50K
,Private,,Divorced,Sales,Unmarried,,Female,54.0,United-States,<=50K
,Private,,Married-civ-spouse,Sales,Husband,,Male,40.0,United-States,<=50K
61.0,,10th,,,,White,Male,50.0,United-States,>50K
,Private,,Divorced,Other-service,Not-in-family,,Female,30.0,United-States,<=50K
,Private,,Married-civ-spouse,Craft-repair,Husband,,Male,45.0,United-States,<=50K
,Private,,Never-married,Adm-clerical,Own-child,,Female,40.0,United-States,<=50K
22.0,,HS-grad,,,,White,Male,16.0,United-States,<=50K
47.0,,Assoc-acdm,,,,White,Male,40.0,United-States,>50K
,Private,,Never-married,Tech-support,Not-in-family,,Female,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Sales,Wife,,Female,20.0,United-States,<=50K
44.0,,HS-grad,,,,White,Female,40.0,United-States,>50K
17.0,,10th,,,,White,Female,10.0,United-States,<=50K
40.0,,Some-college,,,,White,Female,40.0,United-States,<=50K
,Private,,Never-married,Adm-clerical,Own-child,,Female,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Farming-fishing,Husband,,Male,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Farming-fishing,Husband,,Male,55.0,United-States,<=50K
22.0,,HS-grad,,,,White,Female,40.0,United-States,<=50K
,Private,,Separated,Other-service,Unmarried,,Female,40.0,United-States,<=50K
,Private,,Divorced,Sales,Unmarried,,Female,38.0,United-States,<=50K
43.0,,HS-grad,,,,White,Female,24.0,United-States,<=50K
,Private,,Married-civ-spouse,Adm-clerical,Wife,,Female,35.0,United-States,>50K
,Private,,Married-civ-spouse,Exec-managerial,Wife,,Female,40.0,Puerto-Rico,>50K
,Self-emp-inc,,Married-civ-spouse,Sales,Husband,,Male,40.0,United-States,>50K
45.0,,Bachelors,,,,Asian-Pac-Islander,Female,70.0,,<=50K
,Local-gov,,Never-married,Other-service,Not-in-family,,Female,22.0,United-States,<=50K
50.0,,Some-college,,,,Asian-Pac-Islander,Male,50.0,,<=50K
,Private,,Married-civ-spouse,Prof-specialty,Husband,,Male,60.0,United-States,>50K
23.0,,HS-grad,,,,White,Female,35.0,United-States,<=50K
27.0,,HS-grad,,,,White,Male,30.0,United-States,<=50K
48.0,,9th,,,,White,Female,40.0,United-States,<=50K
32.0,,Some-college,,,,White,Female,40.0,United-States,<=50K
53.0,,HS-grad,,,,White,Male,46.0,United-States,>50K
41.0,,Assoc-voc,,,,White,Male,40.0,Yugoslavia,<=50K
,Private,,Married-civ-spouse,Craft-repair,Husband,,Male,45.0,United-States,>50K
23.0,,Bachelors,,,,White,Female,40.0,United-States,<=50K
47.0,,HS-grad,,,,White,Male,40.0,,<=50K
30.0,,Assoc-acdm,,,,White,Female,40.0,United-States,<=50K
55.0,,13,,,,Asian-Pac-Islander,Male,40.0,India,<=50K
,,,Widowed,,Unmarried,,Female,15.0,United-States,<=50K
,Private,,Never-married,Farming-fishing,Own-child,,Male,20.0,United-States,<=50K
,Private,,Married-civ-spouse,Handlers-cleaners,Husband,,Male,45.0,United-States,<=50K
27.0,,10,,,,White,Male,40.0,United-States,<=50K
,,,Never-married,,Not-in-family,,Male,40.0,,<=50K
61.0,,Some-college,,,,White,Male,40.0,United-States,<=50K
41.0,,Bachelors,,,,White,Male,50.0,United-States,>50K
,Private,,Married-civ-spouse,Craft-repair,Husband,,Male,40.0,Dominican-Republic,<=50K
17.0,,10th,,,,White,Male,40.0,United-States,<=50K
,Local-gov,,Divorced,Prof-specialty,Not-in-family,,Female,70.0,United-States,<=50K
30.0,,11th,,,,White,Female,32.0,United-States,<=50K
,Private,,Never-married,Machine-op-inspct,Not-in-family,,Male,40.0,United-States,<=50K
,Private,,Never-married,Other-service,Not-in-family,,Male,40.0,United-States,<=50K
54.0,,Some-college,,,,White,Male,40.0,United-States,>50K
,Federal-gov,,Never-married,Adm-clerical,Unmarried,,Female,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Sales,Husband,,Male,50.0,United-States,>50K
,Local-gov,,Divorced,Prof-specialty,Not-in-family,,Female,40.0,United-States,>50K
41.0,,HS-grad,,,,White,Female,40.0,United-States,<=50K
,Private,,Never-married,Tech-support,Not-in-family,,Male,45.0,United-States,<=50K
33.0,,Assoc-voc,,,,White,Male,62.0,United-States,<=50K
,Self-emp-not-inc,,Married-civ-spouse,Craft-repair,Husband,,Male,40.0,United-States,<=50K
,,,Married-civ-spouse,,Husband,,Male,8.0,United-States,<=50K
18.0,,11th,,,,White,Female,16.0,United-States,<=50K
40.0,,Masters,,,,White,Male,40.0,United-States,>50K
45.0,,Bachelors,,,,Black,Female,40.0,United-States,<=50K
52.0,,HS-grad,,,,Black,Male,40.0,United-States,>50K
,Federal-gov,,Never-married,Adm-clerical,Not-in-family,,Male,40.0,Puerto-Rico,<=50K
27.0,,HS-grad,,,,Black,Female,60.0,United-States,<=50K
63.0,,,,,,White,Female,60.0,United-States,>50K
23.0,,HS-grad,,,,White,Male,50.0,United-States,<=50K
,Private,,Separated,Exec-managerial,Unmarried,,Female,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Handlers-cleaners,Husband,,Male,40.0,United-States,<=50K
43.0,,HS-grad,,,,White,Female,40.0,Cuba,<=50K
32.0,,HS-grad,,,,White,Male,40.0,United-States,<=50K
25.0,,11th,,,,White,Female,40.0,Mexico,<=50K
,Self-emp-not-inc,,Never-married,Other-service,Not-in-family,,Female,35.0,United-States,<=50K
27.0,,HS-grad,,,,White,Male,40.0,El-Salvador,<=50K
,Private,,Married-civ-spouse,Prof-specialty,Husband,,Male,80.0,United-States,<=50K
24.0,,HS-grad,,,,White,Male,40.0,United-States,<=50K
27.0,,Bachelors,,,,White,Male,50.0,United-States,<=50K
,,,Never-married,,Own-child,,Female,40.0,United-States,<=50K
45.0,,Some-college,,,,White,Female,40.0,United-States,<=50K
19.0,,Some-college,,,,White,Male,20.0,United-States,<=50K
34.0,,Bachelors,,,,White,Male,40.0,United-States,<=50K
26.0,,Bachelors,,,,White,Female,10.0,United-States,<=50K
39.0,,HS-grad,,,,White,Female,40.0,United-States,<=50K
20.0,,Some-college,,,,White,Female,50.0,United-States,<=50K
59.0,,HS-grad,,,,White,Male,40.0,United-States,>50K
65.0,,Masters,,,,White,Male,40.0,United-States,>50K
53.0,,HS-grad,,,,Black,Female,40.0,United-States,<=50K
62.0,,HS-grad,,,,White,Male,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Craft-repair,Husband,,Male,48.0,United-States,>50K
,Private,,Never-married,Sales,Other-relative,,Female,45.0,United-States,<=50K
,Self-emp-not-inc,,Married-civ-spouse,Exec-managerial,Husband,,Male,1.0,United-States,<=50K
36.0,,HS-grad,,,,White,Female,36.0,United-States,<=50K
38.0,,Bachelors,,,,White,Male,45.0,United-States,>50K
,Private,,Never-married,Sales,Other-relative,,Male,40.0,United-States,<=50K
