age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,capital-gain,capital-loss,native-country,salary
29.0,,337953.0,Bachelors,,Never-married,,,White,,,United-States,<=50K
,Private,218215.0,,10.0,Never-married,Adm-clerical,Own-child,,0.0,0.0,,
28.0,,263600.0,HS-grad,,Married-civ-spouse,,,White,,,United-States,>50K
38.0,,171344.0,11th,,Married-spouse-absent,,,White,,,Mexico,<=50K
,Private,45522.0,,9.0,Never-married,Other-service,Not-in-family,,0.0,0.0,,
55.0,,294395.0,Assoc-voc,,Widowed,,,White,,,United-States,<=50K
42.0,,55395.0,Some-college,,Married-civ-spouse,,,White,,,United-States,<=50K
23.0,,250743.0,Some-college,,Divorced,,,Black,,,United-States,<=50K
32.0,,134737.0,Bachelors,,Married-civ-spouse,,,White,,,United-States,>50K
,Self-emp-not-inc,27653.0,,9.0,Married-civ-spouse,Farming-fishing,Husband,,0.0,0.0,,
,Private,126141.0,,13.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,0.0,,
26.0,,129806.0,10th,,Never-married,,,White,,,United-States,<=50K
29.0,,315026.0,HS-grad,,Divorced,,,White,,,United-States,<=50K
63.0,,223637.0,HS-grad,,Never-married,,,Black,,,United-States,<=50K
53.0,,288353.0,Bachelors,,Married-civ-spouse,,,White,,,United-States,>50K
,Local-gov,137518.0,,9.0,Widowed,Adm-clerical,Not-in-family,,0.0,0.0,,
,Self-emp-inc,146659.0,,10.0,Divorced,Machine-op-inspct,Not-in-family,,0.0,0.0,,
,Private,134232.0,,13.0,Never-married,Other-service,Own-child,,0.0,0.0,,
53.0,,177705.0,Bachelors,,Married-civ-spouse,,,White,,,United-States,>50K
,Private,143800.0,,6.0,Married-civ-spouse,Transport-moving,Husband,,0.0,0.0,,
21.0,,236696.0,Some-college,,Never-married,,,White,,,United-States,<=50K
28.0,,119793.0,Some-college,,Never-married,,,White,,,United-States,<=50K
35.0,,169104.0,Some-college,,Married-spouse-absent,,,White,,,United-States,<=50K
45.0,,270079.0,Bachelors,,Married-civ-spouse,,,White,,,United-States,>50K
28.0,,136077.0,Assoc-voc,,Married-civ-spouse,,,White,,,Poland,<=50K
21.0,,116788.0,HS-grad,,Never-married,,,White,,,United-States,<=50K
44.0,,98779.0,,,Married-civ-spouse,,,White,,,United-States,>50K
,Private,185279.0,,9.0,Never-married,Handlers-cleaners,Own-child,,0.0,0.0,,
30.0,,226535.0,HS-grad,,Never-married,,,White,,,United-States,<=50K
35.0,,51700.0,Some-college,,Never-married,,,White,,,United-States,<=50K
,Federal-gov,191858.0,,12.0,Married-civ-spouse,Adm-clerical,Husband,,0.0,0.0,,
,Private,124747.0,,9.0,Married-civ-spouse,Exec-managerial,Wife,,3103.0,0.0,,
24.0,,85041.0,HS-grad,,Separated,,,White,,,United-States,<=50K
,Private,146268.0,,6.0,Never-married,Other-service,Own-child,,0.0,0.0,,
22.0,,374116.0,HS-grad,,Never-married,,,White,,,United-States,<=50K
,Private,198270.0,,10.0,Divorced,Other-service,Not-in-family,,0.0,0.0,,
17.0,Federal-gov,,10th,9.0,Never-married,Other-service,Own-child,White,0.0,0.0,United-States,<=50K
44.0,,132921.0,Assoc-acdm,,Never-married,,,White,,,United-States,<=50K
19.0,,418176.0,HS-grad,,Never-married,,,Black,,,United-States,<=50K
32.0,,239659.0,Some-college,,Separated,,,Black,,,United-States,<=50K
,Private,83827.0,,9.0,Divorced,Machine-op-inspct,Not-in-family,,0.0,0.0,,
31.0,,156033.0,HS-grad,,Divorced,,,White,,,United-States,<=50K
39.0,,122742.0,Assoc-acdm,,Married-civ-spouse,,,White,,,United-States,>50K
,Self-emp-inc,185497.0,,13.0,Married-civ-spouse,Exec-managerial,Wife,,0.0,0.0,,
21.0,,33616.0,Some-college,,Never-married,,,White,,,United-States,<=50K
24.0,,198259.0,Bachelors,,Never-married,,,White,,,United-States,<=50K
36.0,,89202.0,Bachelors,,Never-married,,,White,,,United-States,<=50K
19.0,,187161.0,Some-college,,Never-married,,,White,,,United-States,<=50K
,,339547.0,,10.0,Married-civ-spouse,,Husband,,0.0,0.0,,
,Private,120910.0,,9.0,Never-married,Other-service,Unmarried,,0.0,0.0,,
,Self-emp-not-inc,107846.0,,9.0,Never-married,Protective-serv,Not-in-family,,0.0,0.0,,
19.0,,247298.0,12th,,Married-spouse-absent,,,Other,,,United-States,<=50K
24.0,,388093.0,Bachelors,,Never-married,,,Black,,,United-States,<=50K
21.0,,33432.0,Some-college,,Never-married,,,White,,,United-States,<=50K
20.0,,362999.0,Some-college,,Never-married,,,White,,,United-States,<=50K
,Private,176239.0,,5.0,Divorced,Other-service,Not-in-family,,0.0,0.0,,
,Private,351770.0,,10.0,Divorced,Farming-fishing,Unmarried,,0.0,0.0,,
,Private,23698.0,,9.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,,
,Self-emp-not-inc,145441.0,,11.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,,
23.0,,194031.0,Some-college,,Never-married,,,White,,,United-States,<=50K
,Private,197207.0,,13.0,Never-married,Prof-specialty,Not-in-family,,0.0,0.0,,
,,174525.0,,9.0,Married-civ-spouse,,Husband,,3942.0,0.0,,
,Private,87561.0,,12.0,Never-married,Tech-support,Not-in-family,,0.0,0.0,,
63.0,,225102.0,HS-grad,,Married-civ-spouse,,,Black,,,,<=50K
,Private,176219.0,,,Married-civ-spouse,Machine-op-inspct,Husband,,0.0,0.0,,
38.0,,64875.0,Some-college,,Never-married,,,White,,,United-States,<=50K
,Private,188941.0,,,Married-civ-spouse,Tech-support,Husband,,3908.0,0.0,,
45.0,,241350.0,HS-grad,,Never-married,,,White,,,United-States,<=50K
,,226989.0,,10.0,Married-spouse-absent,,Not-in-family,,0.0,0.0,,
,Private,338740.0,,13.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,,
40.0,,192381.0,Some-college,,Married-civ-spouse,,,White,,,United-States,>50K
19.0,,291181.0,9th,,Never-married,,,White,,,Mexico,<=50K
33.0,,202046.0,Bachelors,,Married-civ-spouse,,,White,,,United-States,>50K
,,161981.0,,6.0,Never-married,,Own-child,,0.0,0.0,,
,Private,180765.0,,7.0,Divorced,Other-service,Unmarried,,0.0,0.0,,
,Private,145098.0,,10.0,Married-civ-spouse,Sales,Husband,,0.0,0.0,,
,Private,141642.0,,9.0,Never-married,Other-service,Not-in-family,,0.0,0.0,,
,Self-emp-not-inc,203784.0,,11.0,Married-civ-spouse,Farming-fishing,Husband,,0.0,0.0,,
32.0,,72744.0,HS-grad,,Never-married,,,White,,,United-States,<=50K
,Private,99591.0,,7.0,Never-married,Other-service,Own-child,,0.0,0.0,,
,Federal-gov,280167.0,,14.0,Married-civ-spouse,Prof-specialty,Husband,,0.0,0.0,,
39.0,,319248.0,10th,,Never-married,,,White,,,Mexico,<=50K
,Federal-gov,368947.0,,13.0,Never-married,Protective-serv,Not-in-family,,0.0,0.0,,
,State-gov,142757.0,,9.0,Married-civ-spouse,Protective-serv,Husband,,0.0,0.0,,
,Private,198587.0,,9.0,Never-married,Sales,Unmarried,,0.0,0.0,,
,Federal-gov,39181.0,,16.0,Divorced,Exec-managerial,Not-in-family,,0.0,2559.0,,
28.0,,37088.0,Bachelors,,Never-married,,,White,,,United-States,<=50K
,Self-emp-inc,39844.0,,9.0,Never-married,Transport-moving,Not-in-family,,0.0,0.0,,
50.0,,189831.0,HS-grad,,Married-civ-spouse,,,White,,,United-States,>50K
19.0,,105289.0,10th,,Never-married,,,Black,,,United-States,<=50K
29.0,,154571.0,Some-college,,Never-married,,,Asian-Pac-Islander,,,,<=50K
,Private,234220.0,,9.0,Divorced,Machine-op-inspct,Own-child,,0.0,0.0,,
19.0,,48393.0,Some-college,,Never-married,,,White,,,United-States,<=50K
,Self-emp-not-inc,220148.0,,9.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,0.0,,
60.0,,96099.0,Some-college,,Married-civ-spouse,,,White,,,United-States,>50K
,Private,210095.0,,7.0,Married-spouse-absent,Handlers-cleaners,Not-in-family,,0.0,0.0,,
47.0,,127678.0,Some-college,,Married-civ-spouse,,,White,,,United-States,>50K
,Private,91257.0,,9.0,Married-civ-spouse,Other-service,Husband,,0.0,0.0,,
,Private,183594.0,,9.0,Never-married,Adm-clerical,Other-relative,,0.0,0.0,,
,Local-gov,74056.0,,13.0,Never-married,Tech-support,Not-in-family,,0.0,0.0,,
43.0,,206927.0,,,Married-civ-spouse,,,White,,,United-States,>50K
,State-gov,62726.0,,10.0,Divorced,Other-service,Not-in-family,,0.0,0.0,,
21.0,,177940.0,HS-grad,,Married-spouse-absent,,,White,,,United-States,<=50K
,,191140.0,,10.0,Never-married,,Own-child,,0.0,0.0,,
29.0,,131088.0,HS-grad,,Never-married,,,White,,,United-States,<=50K
46.0,,173613.0,HS-grad,,Divorced,,,White,,,United-States,<=50K
,Private,112115.0,,13.0,Never-married,Exec-managerial,Other-relative,,0.0,0.0,,
26.0,,167848.0,HS-grad,,Never-married,,,Black,,,United-States,<=50K
,,130832.0,,13.0,Never-married,,Unmarried,,0.0,0.0,,
,Private,238255.0,,9.0,Divorced,Adm-clerical,Unmarried,,0.0,0.0,,
23.0,,334357.0,,,Never-married,,,Black,,,United-States,<=50K
,Private,64292.0,,10.0,Never-married,Sales,Not-in-family,,0.0,0.0,,
32.0,,195891.0,HS-grad,,Never-married,,,White,,,Iran,<=50K
,Private,178282.0,,9.0,Married-civ-spouse,Machine-op-inspct,Husband,,7688.0,0.0,,
,Private,198766.0,,14.0,Married-civ-spouse,Sales,Husband,,20051.0,0.0,,
,Private,217568.0,,9.0,Widowed,Craft-repair,Unmarried,,0.0,0.0,,
,Self-emp-not-inc,39630.0,,9.0,Married-civ-spouse,Sales,Husband,,0.0,0.0,,
,Private,749105.0,,9.0,Divorced,Other-service,Unmarried,,0.0,0.0,,
,State-gov,203628.0,,13.0,Married-civ-spouse,Prof-specialty,Husband,,0.0,0.0,,
38.0,,187870.0,Bachelors,,Married-civ-spouse,,,White,,,United-States,>50K
44.0,,56483.0,Bachelors,,Never-married,,,White,,,United-States,<=50K
,Private,104359.0,,10.0,Married-civ-spouse,Handlers-cleaners,Husband,,0.0,0.0,,
,Private,78374.0,,9.0,Married-civ-spouse,Adm-clerical,Wife,,0.0,0.0,,
44.0,,33521.0,Some-college,,Married-civ-spouse,,,White,,,United-States,>50K
,Private,201232.0,,9.0,Married-civ-spouse,Priv-house-serv,Husband,,0.0,0.0,,
,Private,39986.0,,5.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,,
,Private,391403.0,,10.0,Never-married,Adm-clerical,Own-child,,0.0,0.0,,
,Private,345073.0,,9.0,Divorced,Exec-managerial,Not-in-family,,0.0,0.0,,
61.0,,52765.0,HS-grad,,Divorced,,,White,,,United-States,<=50K
,Private,131766.0,,12.0,Never-married,Exec-managerial,Not-in-family,,3325.0,0.0,,
,Private,264244.0,,9.0,Married-spouse-absent,Craft-repair,Not-in-family,,0.0,0.0,,
49.0,,199763.0,Some-college,,Divorced,,,White,,,United-States,<=50K
,Private,111385.0,,9.0,Never-married,Craft-repair,Not-in-family,,0.0,0.0,,
,Self-emp-inc,149650.0,,9.0,Divorced,Other-service,Not-in-family,,0.0,0.0,,
,Private,329603.0,,16.0,Married-civ-spouse,Prof-specialty,Husband,,0.0,0.0,,
25.0,,260754.0,Bachelors,,Never-married,,,Black,,,United-States,<=50K
24.0,,108495.0,9,,Never-married,,,White,,,United-States,<=50K
34.0,,245211.0,HS-grad,,Never-married,,,White,,,United-States,<=50K
40.0,,240124.0,HS-grad,,Married-civ-spouse,,,White,,,United-States,>50K
34.0,Private,,Bachelors,10.0,,Exec-managerial,Not-in-family,White,0.0,0.0,,>50K
,Federal-gov,356689.0,,13.0,Married-civ-spouse,Adm-clerical,Husband,,0.0,0.0,,
,Private,278139.0,,9.0,Married-civ-spouse,Sales,Husband,,3432.0,0.0,,
,Private,187479.0,,10.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,0.0,,
,Private,109097.0,,7.0,Never-married,Adm-clerical,Not-in-family,,0.0,0.0,,
43.0,,45156.0,Some-college,,Married-civ-spouse,,,White,,,United-States,<=50K
47.0,,122307.0,Bachelors,,Married-civ-spouse,,,White,,,United-States,>50K
27.0,,253814.0,Bachelors,,Married-civ-spouse,,,White,,,United-States,>50K
42.0,,348059.0,Doctorate,,Divorced,,,White,,,United-States,<=50K
,Self-emp-not-inc,132589.0,,10.0,Married-civ-spouse,Farming-fishing,Husband,,0.0,0.0,,
,Self-emp-not-inc,315984.0,,9.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,0.0,,
,Federal-gov,306515.0,,9.0,Never-married,Adm-clerical,Not-in-family,,0.0,0.0,,
56.0,,273084.0,,,Married-civ-spouse,,,Black,,,United-States,>50K
,Local-gov,173542.0,,9.0,Divorced,Adm-clerical,Unmarried,,0.0,0.0,,
50.0,,306707.0,HS-grad,,Never-married,,,Black,,,United-States,<=50K
38.0,,161463.0,Some-college,,Married-civ-spouse,,,Black,,,United-States,<=50K
,Private,289731.0,,10.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,,
,Self-emp-inc,104737.0,,9.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,,
59.0,,137506.0,9th,,Widowed,,,White,,,United-States,<=50K
20.0,,198478.0,HS-grad,,Never-married,,,White,,,United-States,<=50K
28.0,,160731.0,Bachelors,,Married-civ-spouse,,,White,,,United-States,<=50K
33.0,,191856.0,Some-college,,Divorced,,,White,,,United-States,<=50K
18.0,,194091.0,11th,,Never-married,,,White,,,United-States,<=50K
65.0,,153522.0,HS-grad,,Widowed,,,White,,,United-States,<=50K
21.0,,37783.0,Some-college,,Never-married,,,White,,,United-States,<=50K
,Private,32958.0,,10.0,Separated,Adm-clerical,Other-relative,,0.0,0.0,,
,Private,63042.0,,9.0,Married-civ-spouse,Sales,Wife,,0.0,0.0,,
42.0,,89226.0,HS-grad,,Married-civ-spouse,,,White,,,Greece,>50K
,Private,184882.0,,11.0,Married-civ-spouse,Transport-moving,Husband,,5178.0,0.0,,
,Private,405284.0,,,Never-married,Prof-specialty,Not-in-family,,0.0,1340.0,,
39.0,,174242.0,,,Married-civ-spouse,,,White,,,United-States,<=50K
41.0,,192225.0,Bachelors,,Married-civ-spouse,,,White,,,United-States,>50K
,Private,99830.0,,10.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,,
36.0,,192939.0,Masters,,Married-civ-spouse,,,White,,,United-States,>50K
46.0,,228372.0,Bachelors,,Divorced,,,White,,,United-States,>50K
