,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week
0,,Private,,,13.0,,Handlers-cleaners,Not-in-family,,Male,0.0,0.0,36.0
1,72.0,,116640.0,Some-college,10.0,,,,White,,3471.0,0.0,
2,,Private,218215.0,,10.0,Never-married,Adm-clerical,Own-child,,,0.0,0.0,
3,,Local-gov,,,9.0,,Protective-serv,Husband,,Male,0.0,0.0,40.0
4,22.0,,273675.0,HS-grad,9.0,,,,Black,,0.0,0.0,
5,21.0,,131404.0,HS-grad,9.0,,,,White,,0.0,0.0,
6,,Private,,,7.0,,Transport-moving,Own-child,,Male,0.0,0.0,36.0
7,34.0,,84154.0,Bachelors,13.0,,,,White,,0.0,0.0,
8,,Private,45522.0,,9.0,Never-married,Other-service,Not-in-family,,,0.0,0.0,
9,,State-gov,,,11.0,,Prof-specialty,Unmarried,,Female,6849.0,0.0,40.0
10,,Private,,,10.0,,Craft-repair,Husband,,Male,0.0,0.0,52.0
11,42.0,,249332.0,HS-grad,9.0,,,,White,,0.0,0.0,
12,,Private,,,10.0,,Adm-clerical,Not-in-family,,Male,0.0,0.0,40.0
13,,Self-emp-not-inc,,,13.0,,Machine-op-inspct,Husband,,Male,0.0,0.0,70.0
14,,Self-emp-not-inc,27653.0,,9.0,Married-civ-spouse,Farming-fishing,Husband,,,0.0,0.0,
15,,Private,126141.0,,13.0,Married-civ-spouse,Exec-managerial,Husband,,,0.0,0.0,
16,,Private,,,6.0,,Handlers-cleaners,Own-child,,Male,0.0,0.0,40.0
17,30.0,,226396.0,HS-grad,9.0,,,,White,,0.0,0.0,
18,,,,,9.0,,,Unmarried,,Female,0.0,0.0,40.0
19,,Private,,,9.0,,Other-service,Not-in-family,,Female,0.0,0.0,50.0
20,,Private,,,13.0,,Exec-managerial,Husband,,Male,0.0,0.0,40.0
21,,Local-gov,137518.0,,9.0,Widowed,Adm-clerical,Not-in-family,,,0.0,0.0,
22,28.0,,22422.0,HS-grad,9.0,,,,White,,0.0,0.0,
23,,Self-emp-inc,146659.0,,10.0,Divorced,Machine-op-inspct,Not-in-family,,,0.0,0.0,
24,67.0,,323636.0,HS-grad,9.0,,,,White,,0.0,0.0,
25,,Private,134232.0,,13.0,Never-married,Other-service,Own-child,,,0.0,0.0,
26,,Private,,,13.0,,Craft-repair,Husband,,Male,0.0,0.0,44.0
27,30.0,,97453.0,HS-grad,9.0,,,,White,,0.0,0.0,
28,28.0,,216178.0,HS-grad,9.0,,,,White,,0.0,0.0,
29,,Private,143800.0,,6.0,Married-civ-spouse,Transport-moving,Husband,,,0.0,0.0,
30,,Private,,,10.0,,Other-service,Not-in-family,,Male,0.0,0.0,57.0
31,38.0,,213716.0,Assoc-voc,11.0,,,,White,,0.0,0.0,
32,,Private,,,10.0,,Adm-clerical,Own-child,,Male,0.0,0.0,40.0
33,,Private,,,10.0,,Craft-repair,Not-in-family,,Male,0.0,0.0,40.0
34,26.0,,287797.0,Some-college,10.0,,,,White,,0.0,0.0,
35,,Self-emp-inc,,,13.0,,Exec-managerial,Husband,,Male,0.0,0.0,50.0
36,,Private,,,11.0,,Craft-repair,Husband,,Male,0.0,0.0,40.0
37,,Private,,,9.0,,Craft-repair,Own-child,,Male,0.0,0.0,40.0
38,,Private,,,10.0,,Craft-repair,Husband,,Male,5178.0,0.0,40.0
39,21.0,,194096.0,Some-college,10.0,,,,White,,0.0,0.0,
40,,Private,185279.0,,9.0,Never-married,Handlers-cleaners,Own-child,,,0.0,0.0,
41,,Private,,,9.0,,Transport-moving,Not-in-family,,Male,4865.0,0.0,40.0
42,,Private,,,10.0,,Transport-moving,Not-in-family,,Male,0.0,0.0,40.0
43,,Federal-gov,191858.0,,12.0,Married-civ-spouse,Adm-clerical,Husband,,,0.0,0.0,
44,32.0,,279912.0,Some-college,10.0,,,,Black,,0.0,0.0,
45,34.0,,169527.0,Some-college,10.0,,,,White,,4386.0,0.0,
46,,Private,124747.0,,9.0,Married-civ-spouse,Exec-managerial,Wife,,,3103.0,0.0,
47,,Private,,,9.0,,Other-service,Unmarried,,Female,0.0,0.0,25.0
48,,Private,146268.0,,6.0,Never-married,Other-service,Own-child,,,0.0,0.0,
49,,Private,,,9.0,,Priv-house-serv,Own-child,,Female,0.0,0.0,36.0
50,,Private,198270.0,,10.0,Divorced,Other-service,Not-in-family,,,0.0,0.0,
51,21.0,,159879.0,Some-college,10.0,,,,White,,0.0,0.0,
52,49.0,,116789.0,HS-grad,9.0,,,,White,,0.0,0.0,
53,61.0,,68268.0,10th,6.0,,,,White,,0.0,0.0,
54,,,154394.0,,,Never-married,,,,Female,0.0,0.0,15.0
55,,Private,,,12.0,,Prof-specialty,Not-in-family,,Female,0.0,0.0,36.0
56,,Private,,,9.0,,Exec-managerial,Not-in-family,,Male,0.0,0.0,32.0
57,37.0,,33440.0,HS-grad,9.0,,,,White,,0.0,0.0,
58,35.0,,412017.0,10th,6.0,,,,White,,0.0,0.0,
59,,Private,,,10.0,,Machine-op-inspct,Unmarried,,Female,0.0,0.0,70.0
60,,Private,83827.0,,9.0,Divorced,Machine-op-inspct,Not-in-family,,,0.0,0.0,
61,38.0,,258888.0,Some-college,10.0,,,,White,,0.0,0.0,
62,,Self-emp-not-inc,,,9.0,,Other-service,Not-in-family,,Male,0.0,0.0,35.0
63,34.0,,177596.0,Assoc-voc,11.0,,,,White,,0.0,0.0,
64,,Self-emp-inc,,,12.0,,Exec-managerial,Husband,,Male,15024.0,0.0,55.0
65,61.0,,113544.0,Masters,14.0,,,,White,,0.0,0.0,
66,,Self-emp-inc,185497.0,,13.0,Married-civ-spouse,Exec-managerial,Wife,,,0.0,0.0,
67,,Private,,,10.0,,Adm-clerical,Own-child,,Female,0.0,0.0,25.0
68,21.0,,244074.0,HS-grad,9.0,,,,White,,0.0,0.0,
69,,Private,,,13.0,,Exec-managerial,Own-child,,Female,0.0,0.0,40.0
70,,Private,,,13.0,,Prof-specialty,Own-child,,Male,0.0,0.0,50.0
71,,Private,,,10.0,,Other-service,Own-child,,Female,0.0,0.0,25.0
72,,,339547.0,,10.0,Married-civ-spouse,,Husband,,,0.0,0.0,
73,47.0,,205068.0,Prof-school,15.0,,,,White,,0.0,1977.0,
74,,Private,120910.0,,9.0,Never-married,Other-service,Unmarried,,,0.0,0.0,
75,,Self-emp-not-inc,107846.0,,9.0,Never-married,Protective-serv,Not-in-family,,,0.0,0.0,
76,,Private,,,8.0,,Other-service,Own-child,,Female,0.0,0.0,20.0
77,,Private,,,13.0,,Exec-managerial,Not-in-family,,Male,0.0,0.0,40.0
78,,Private,,,10.0,,Prof-specialty,Own-child,,Female,0.0,0.0,8.0
79,,Private,,,10.0,,Adm-clerical,Own-child,,Female,0.0,0.0,20.0
80,,Private,176239.0,,5.0,Divorced,Other-service,Not-in-family,,,0.0,0.0,
81,,Private,351770.0,,10.0,Divorced,Farming-fishing,Unmarried,,,0.0,0.0,
82,,Private,23698.0,,9.0,Married-civ-spouse,Craft-repair,Husband,,,0.0,0.0,
83,,Self-emp-not-inc,145441.0,,11.0,Married-civ-spouse,Craft-repair,Husband,,,0.0,0.0,
84,38.0,,236391.0,HS-grad,9.0,,,,White,,0.0,0.0,
85,,,,,10.0,,,Not-in-family,,Female,0.0,0.0,25.0
86,,Private,197207.0,,13.0,Never-married,Prof-specialty,Not-in-family,,,0.0,0.0,
87,,,174525.0,,9.0,Married-civ-spouse,,Husband,,,3942.0,0.0,
88,,Private,87561.0,,12.0,Never-married,Tech-support,Not-in-family,,,0.0,0.0,
89,,Private,,,9.0,,Handlers-cleaners,Husband,,Male,0.0,0.0,40.0
90,,Private,176219.0,,,Married-civ-spouse,Machine-op-inspct,Husband,,,0.0,0.0,
91,39.0,,281363.0,10th,6.0,,,,White,,0.0,0.0,
92,21.0,,350001.0,Some-college,10.0,,,,White,,0.0,0.0,
93,45.0,,188386.0,HS-grad,9.0,,,,White,,0.0,1628.0,
94,,Private,,,10.0,,Farming-fishing,Unmarried,,Male,0.0,0.0,60.0
95,,Private,188941.0,,,Married-civ-spouse,Tech-support,Husband,,,3908.0,0.0,
96,24.0,,35633.0,Some-college,10.0,,,,White,,0.0,0.0,
97,,Private,,,9.0,,Transport-moving,Not-in-family,,Male,0.0,0.0,40.0
98,,,226989.0,,10.0,Married-spouse-absent,,Not-in-family,,,0.0,0.0,
99,,Private,338740.0,,13.0,Married-civ-spouse,Craft-repair,Husband,,,0.0,0.0,
100,,Private,,,10.0,,Craft-repair,Husband,,Male,0.0,0.0,50.0
101,,Private,,,5.0,,Other-service,Own-child,,Female,0.0,0.0,50.0
102,30.0,,289293.0,12th,8.0,,,,White,,3908.0,0.0,
103,,Private,,,13.0,,Exec-managerial,Husband,,Male,0.0,0.0,45.0
104,,,161981.0,,6.0,Never-married,,Own-child,,,0.0,0.0,
105,61.0,,28375.0,Masters,14.0,,,,White,,0.0,0.0,
106,,Private,180765.0,,7.0,Divorced,Other-service,Unmarried,,,0.0,0.0,
107,37.0,,111128.0,11th,7.0,,,,White,,0.0,0.0,
108,20.0,,219122.0,Some-college,10.0,,,,White,,0.0,0.0,
109,,Private,145098.0,,10.0,Married-civ-spouse,Sales,Husband,,,0.0,0.0,
110,39.0,,219137.0,Assoc-acdm,12.0,,,,White,,0.0,0.0,
111,40.0,,121874.0,Assoc-acdm,12.0,,,,White,,7688.0,0.0,
112,48.0,,144122.0,Masters,14.0,,,,White,,0.0,0.0,
