tweet_id,sentiment,content
1960538385,boredom,trying to finish my ass-ignment.please god help me to finish it
1961417329,enthusiasm,"Back in lancaster bored already, can't wait to start work! Missing hel!"
1751176719,,Chocolate milk and subway. MMM
1962520993,enthusiasm,"Working on this DAMN Financial project, Definitely not having any fun this weekend  , I want to spend it wit my BAAABY waaaah"
1957477724,anger,My stomach is all EXPLODE from the wendys  why is everything that tastes good bad for you?
1957249686,boredom,Friday tubes at work are slow..
1961105110,,@h269 revising as uni exams are looming
1694792786,anger,Monday...Funday!  Wake up people...and keep me awake please   Today is going to be a long one..I can already feel it. Eww
1964209801,boredom,@ericmaglio1 i have no phone  whatchu doing tonight sucka. no dane cook she sold the tickets. lamee.
1966061628,,@dnbchik ohhh that cant be very fun    but hell you manned it up!!   looks like you got some shit done today!!
1964085747,,Wish my headache/almost migraine would go away!
1752052404,,says she wants to be w/ marykay @ sendai right now
1966411976,boredom,@DanielFielding i tried listenin to music 4 half an hour! Tried readin a really boring book-still wide awake!
1962069581,enthusiasm,"my mouth is sore  I have to wear these stupid retainers so my teeth don't go crooked!...in other news, I got a new swimsuit for laps!"
1753257239,anger,@anieszkaa haha i did a ltiitle bit yesterday and ive been out all day  so i think ima chick an allnighter  hahaha NOT COOL
1962171118,,No gas PLUS no money = Desperation!!!   and that's the word of the day!  http://twitpic.com/66zls
1965212590,enthusiasm,i'm oh so very bored!  buut.. almost 2 days til i leave for france!
1960908419,boredom,I am sooooooo bored in textiles !
1966273796,anger,Sitting in traffic while my car gets rained on. Just washed it on Sunday. Doesn't the weather know this is California?
1957597348,anger,lost all my files since high school.
1752322414,enthusiasm,@TheWayIRoll HIII!!!!  i've missed you  just bored....what about u?
1753855043,enthusiasm,@BlokesLib i look forward to that. if u ever write 5 Things a Misanthrope Must Do to be at Peace w Humanity i'm up for that as well
1960339755,anger,Confuzzled
1964617614,enthusiasm,@ItsIan ohhh your soo lucky it is nice out. Here it is rainy and humid.
1957758701,anger,@drakesizzle  If you don't want to come then don't come. JEEEEEZ.
1957588348,boredom,@solobasssteve I'm with you there - filing is so much less fun than sorting cos you still have to look at it &amp; hunt down details
1963426965,boredom,"Ditto that, my friend...BORED! Oops, now I have an exciting problem"
1964970085,boredom,Ahhhhh processing shipment  sooooooo much!!!!!
1958115243,boredom,im bored.. RC is goin maintenance
1695002255,,is upload video geje di youtube  http://plurk.com/p/rqaoe
1753585226,,@sookyeong u mean VIP this time ? coz of the KBS thingy ? haha..
1693977656,enthusiasm,@carmenforward no way - those are great words.  Boys don't get to own them.    Oh and was it your bday?
1957501257,boredom,My brother just woke me up to help him with his homework. I'm not happy
1960565313,enthusiasm,"@KatMeyer Hey, is the #beatweetup badge required for tonight? Just realized I left mine at home!"
1960538791,boredom,@MeanMillies boo
1962000203,anger,@cindaxo the straightener's another 110 pounds though. Seems pricey
1957724418,anger,"i hav a chance to win $10, $100, $1000.  i was given a free can of $ plant..have to wait till the plant grow to know if i won anythin!!?!"
1753632526,enthusiasm,awake and ready to learn a little more
1960133316,boredom,"is boiling in the office, air con any1 ?"
1753400331,,@xCarCrashHearts ironclad determination?
1752382696,enthusiasm,@flomingo that sounds cool! post video!!
1960327485,boredom,in math class waiting for lunchhhhhhhh. seniors are done in fifteen minutes
1965534896,anger,"@maddsie Thanks, none close to me."
1694331500,enthusiasm,@margotrobbie oh that makes sense! Well you are officially my first @reply from a celebrity!!
1965595330,boredom,bored fixed the internet for my dad but now im bored to death
1752444806,anger,OIL IS CHANGED!  And I am filthy.    But it's an accomplished filthy.
1753467741,enthusiasm,"i want to wake up early, and get a coffee tomorrow (today) !  it's going to be a busyy day! but have to keep writing.. booo whoo!"
1965090397,enthusiasm,@KrissWouldhowse I WANNA GO.
1965314331,boredom,@grooveybianca12 nah jkin he's hot! so... bored now
1752257559,enthusiasm,"Home finally! Im soooo tired and kinda lonely now, blah but w.e I'll cuddle in some blankets and watch a movie by myself  sounds good. Lol"
1964864746,anger,"Had a shower. it's 5:55 PM. Triple 5's! Crap, it just turned 5:56"
1961147777,enthusiasm,Just got up. Need to leave for class in a hour.
1962326416,anger,i hella wanted a sausage mcmuffin but when i gt there breakfast was over
1960129867,anger,@mikeavila ack! I just read about your show  that's horrible!!! No accounting for taste.
1962743903,boredom,@starstruckfeie  i have no one to watch it with! ma peeps  are actually focused on their finals already!
1695478035,,"@JGDemas Hey Muffin, good morning to you! Grt textin wif ya last night"
1957306189,boredom,@Natalija been there  sucks like hell.
1694549471,boredom,#com125: we have a quiz! again .. Feliza is bugging us again  its getting very annoying!
1694905627,enthusiasm,@01theone Looking forward to following your journey on this endeavor - just subscribed to your blog
1965017645,boredom,my brother left me for the day now I am here by myself
1693998094,,"@oliyoung it's stable, faster than 2.x and working."
1753235119,enthusiasm,"@joyfrequencies Yes, but I'm quite rusty.  I'm hoping to get back to it and &quot;tune up&quot; my skills.  Tim plays guitar.  We threaten duets."
1963562862,anger,"Grabbing a snack and a drink at chili's, but the power just went out. Before I got my food!"
1694905202,,i think i like the workshop
1957291305,anger,&quot;locked up abroad&quot; makes bein half brown good risk mgmt when travelin 3rd world. i blend. i feel sorry for my hostage magnet white pepo
1960538385,boredom,trying to finish my ass-ignment.please god help me to finish it
1961417329,enthusiasm,"Back in lancaster bored already, can't wait to start work! Missing hel!"
1751176719,enthusiasm,Chocolate milk and subway. MMM
1962520993,,"Working on this DAMN Financial project, Definitely not having any fun this weekend  , I want to spend it wit my BAAABY waaaah"
1957477724,anger,My stomach is all EXPLODE from the wendys  why is everything that tastes good bad for you?
1957249686,,Friday tubes at work are slow..
1961105110,boredom,@h269 revising as uni exams are looming
1694792786,,Monday...Funday!  Wake up people...and keep me awake please   Today is going to be a long one..I can already feel it. Eww
1964209801,,@ericmaglio1 i have no phone  whatchu doing tonight sucka. no dane cook she sold the tickets. lamee.
1966061628,enthusiasm,@dnbchik ohhh that cant be very fun    but hell you manned it up!!   looks like you got some shit done today!!
1964085747,,Wish my headache/almost migraine would go away!
1752052404,,says she wants to be w/ marykay @ sendai right now
1966411976,,@DanielFielding i tried listenin to music 4 half an hour! Tried readin a really boring book-still wide awake!
1962069581,,"my mouth is sore  I have to wear these stupid retainers so my teeth don't go crooked!...in other news, I got a new swimsuit for laps!"
